Latitude,Longitude,Precipitation(mm),Surface Temp (K),Evaporation(mm)
-89.0,-178.75,535.8028408409155,226.04566955566406,-8.632245917592485
-89.0,-176.25,535.8028408409155,225.9258270263672,-8.673012132871971
-89.0,-173.75,535.8028408409155,225.80596923828125,-8.7137781223241
-89.0,-171.25,535.8028408409155,225.6861114501953,-8.754544336728287
-89.0,-168.75,535.8028408409155,225.56626892089844,-8.795310544130075
-89.0,-166.25,535.8028408409155,225.44642639160156,-8.836077206687776
-89.0,-163.75,535.8028408409155,225.3265838623047,-8.876843197015205
-89.0,-161.25,535.8028408409155,225.2067108154297,-8.917609649500946
-89.0,-158.75,535.8028408409155,225.08685302734375,-8.958375737861957
-89.0,-156.25,535.8028408409155,224.9669952392578,-8.999141854232562
-89.0,-153.75,535.8028408409155,224.84715270996094,-9.039908614823844
-89.0,-151.25,535.8028408409155,224.72727966308594,-9.080674507117692
-89.0,-148.75,535.8028408409155,224.607421875,-9.121441127661
-89.0,-146.25,535.8028408409155,224.4875946044922,-9.162207356069985
-89.0,-143.75,535.8028408409155,224.36773681640625,-9.202973304383022
-89.0,-141.25,535.8028408409155,224.2478790283203,-9.24373998094552
-89.0,-138.75,535.8028408409155,224.1280059814453,-9.284505985277747
-89.0,-136.25,535.8028408409155,224.00816345214844,-9.325272157667541
-89.0,-133.75,535.8028408409155,223.88832092285156,-9.366038666172471
-89.0,-131.25,535.8028408409155,223.7684783935547,-9.406805118658212
-89.0,-128.75,535.8028408409155,223.6486053466797,-9.447570898913682
-89.0,-126.25,535.8028408409155,223.52874755859375,-9.488337463437801
-89.0,-123.75,535.8028408409155,223.4088897705078,-9.529103411750839
-89.0,-121.25,535.8028408409155,223.28904724121094,-9.569870256370905
-89.0,-118.75,535.8028408409155,223.16920471191406,-9.610636764875835
-89.0,-116.25,535.8028408409155,223.04933166503906,-9.651402713188872
-89.0,-113.75,535.8028408409155,222.9294891357422,-9.692169221693803
-89.0,-111.25,535.8028408409155,222.80963134765625,-9.732935562141165
-89.0,-108.75,535.8028408409155,222.68975830078125,-9.77370167851177
-89.0,-106.25,535.8028408409155,222.5699005126953,-9.8144681870167
-89.0,-103.75,535.8028408409155,222.4500732421875,-9.855233687176224
-89.0,-101.25,535.8028408409155,222.33021545410156,-9.896000139661965
-89.0,-98.75,439.2960899294849,220.3031768798828,-20.573315604689668
-89.0,-96.25,439.2960899294849,220.4292449951172,-20.038612709033288
-89.0,-93.75,439.2960899294849,220.5552978515625,-19.503909785367313
-89.0,-91.25,439.2960899294849,220.68133544921875,-18.969207120790088
-89.0,-88.75,439.2960899294849,220.8074188232422,-18.434503987052153
-89.0,-86.25,439.2960899294849,220.9334716796875,-17.89980116141976
-89.0,-83.75,439.2960899294849,221.05950927734375,-17.36509811171061
-89.0,-81.25,439.2960899294849,221.18556213378906,-16.830395370107
-89.0,-78.75,439.2960899294849,221.31163024902344,-16.295692600493794
-89.0,-76.25,439.2960899294849,221.4376678466797,-15.760989634813427
-89.0,-73.75,439.2960899294849,221.563720703125,-15.226286697142655
-89.0,-71.25,439.2960899294849,221.6897735595703,-14.691583787481477
-89.0,-68.75,439.2960899294849,221.8157958984375,-14.15688118592584
-89.0,-66.25,439.2960899294849,221.9418487548828,-13.62217802417831
-89.0,-63.75,439.2960899294849,222.06793212890625,-13.087475142526728
-89.0,-61.250000000000014,439.2960899294849,222.1940155029297,-12.552771924760009
-89.0,-58.750000000000014,439.2960899294849,222.3200225830078,-12.018070107473022
-89.0,-56.249999999999986,439.2960899294849,222.4460906982422,-11.483366721648736
-89.0,-53.749999999999986,439.2960899294849,222.57215881347656,-10.948663952035531
-89.0,-51.25,439.2960899294849,222.69822692871094,-10.413961574556652
-89.0,-48.75,439.2960899294849,222.82427978515625,-9.8792585248475
-89.0,-46.25,439.2960899294849,222.95033264160156,-9.34455541911916
-89.0,-43.75,439.2960899294849,223.07635498046875,-8.80985273353474
-89.0,-41.25,439.2960899294849,223.20240783691406,-8.275150019940725
-89.0,-38.75,439.2960899294849,223.32847595214844,-7.740447068265155
-89.0,-36.24999999999997,439.2960899294849,223.4545135498047,-7.2057437752226505
-89.0,-33.75,439.2960899294849,223.58056640625,-6.671041388990773
-89.0,-31.25,439.2960899294849,223.70664978027344,-6.136338045180878
-89.0,-28.75,439.2960899294849,223.83270263671875,-5.601635639692404
-89.0,-26.25,439.2960899294849,223.958740234375,-5.06693202979136
-89.0,-23.75,439.2960899294849,224.0847930908203,-4.532229988427616
-89.0,-21.25,439.2960899294849,224.2108612060547,-3.997526658622519
-89.0,-18.75,439.2960899294849,224.33689880371094,-3.4628237209517465
-89.0,-16.25,439.2960899294849,224.46295166015625,-2.928120559204217
-89.0,-13.749999999999972,439.2960899294849,224.58900451660156,-2.393418293763716
-89.0,-11.25,439.2960899294849,224.7150421142578,-1.8587146838626722
-89.0,-8.75,896.4938010558399,225.32688903808594,-9.878385521801647
-89.0,-6.25,896.4938010558399,225.3863983154297,-9.924557882072804
-89.0,-3.75,896.4938010558399,225.4458770751953,-9.970734723879104
-89.0,-1.25,896.4938010558399,225.50538635253906,-10.016908428610805
-89.0,1.25,896.4938010558399,225.5648956298828,-10.063081909265748
-89.0,3.75,896.4938010558399,225.62440490722656,-10.109254941767176
-89.0,6.25,896.4938010558399,225.68389892578125,-10.15542842242212
-89.0,8.750000000000028,896.4938010558399,225.743408203125,-10.201602575307334
-89.0,11.25,896.4938010558399,225.80291748046875,-10.24777583188552
-89.0,13.75,896.4938010558399,225.8624267578125,-10.293949760693977
-89.0,16.25,896.4938010558399,225.92193603515625,-10.340122569118648
-89.0,18.75,896.4938010558399,225.98143005371094,-10.38629694608062
-89.0,21.25,896.4938010558399,226.0409393310547,-10.432470426735563
-89.0,23.75,896.4938010558399,226.1004180908203,-10.478645251851049
-89.0,26.25,896.4938010558399,226.1599578857422,-10.524818508429234
-89.0,28.75,896.4938010558399,226.219482421875,-10.570992437237692
-89.0,31.25000000000003,896.4938010558399,226.2789764404297,-10.617165917892635
-89.0,33.75,896.4938010558399,226.33848571777344,-10.663339398547578
-89.0,36.25,896.4938010558399,226.39796447753906,-10.709512655125764
-89.0,38.75,896.4938010558399,226.4574737548828,-10.755686359857464
-89.0,41.25,896.4938010558399,226.51698303222656,-10.801860512742678
-89.0,43.75,896.4938010558399,226.5764923095703,-10.848033993397621
-89.0,46.25,896.4938010558399,226.63600158691406,-10.894207698129321
-89.0,48.75,896.4938010558399,226.69549560546875,-10.940382971398321
-89.0,51.25000000000003,896.4938010558399,226.7550048828125,-10.986556676130022
-89.0,53.75000000000003,896.4938010558399,226.81451416015625,-11.032730156784964
-89.0,56.25,896.4938010558399,226.87400817871094,-11.078903861516665
-89.0,58.75,896.4938010558399,226.9335174560547,-11.125077342171608
-89.0,61.25,896.4938010558399,226.9929962158203,-11.171251495056822
-89.0,63.75,896.4938010558399,227.05255126953125,-11.21742452755825
-89.0,66.25,896.4938010558399,227.1120147705078,-11.26359823228995
-89.0,68.75,896.4938010558399,227.1715545654297,-11.309772385175165
